request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,800000000,0,800000000,4,r0:path:3:swap_tree_1,physical_failure
r1,0,800000000,0,800000000,1,r1:path:1:swap_tree_4,physical_failure
r10,200000000,430000010,1,230000010,1,r10:path:0:swap_tree_1,
r11,200000000,480000010,1,280000010,1,r11:path:3:swap_tree_2,
r12,200000000,1000000000,0,800000000,4,r12:path:1:swap_tree_0,physical_failure
r13,200000000,1000000000,0,800000000,2,r13:path:3:swap_tree_3,physical_failure
r14,200000000,1000000000,0,800000000,1,r14:path:2:swap_tree_3,physical_failure
r15,200000000,730000010,1,530000010,2,r15:path:3:swap_tree_4,
r16,200000000,380000010,1,180000010,1,r16:path:1:swap_tree_1,
r17,200000000,980000010,1,780000010,4,r17:path:3:swap_tree_1,
r18,200000000,630000010,1,430000010,2,r18:path:3:swap_tree_1,
r19,200000000,630000010,1,430000010,2,r19:path:1:swap_tree_1,
r2,0,800000000,0,800000000,4,r2:path:1:swap_tree_0,physical_failure
r20,400000000,580000010,1,180000010,1,r20:path:3:swap_tree_3,
r21,400000000,830000010,1,430000010,2,r21:path:1:swap_tree_4,
r22,400000000,580000010,1,180000010,1,r22:path:2:swap_tree_2,
r23,400000000,980000010,1,580000010,2,r23:path:3:swap_tree_2,
r24,400000000,630000010,1,230000010,1,r24:path:3:swap_tree_1,
r25,400000000,1200000000,0,800000000,4,r25:path:2:swap_tree_4,physical_failure
r26,400000000,1200000000,0,800000000,2,r26:path:2:swap_tree_3,physical_failure
r27,400000000,1200000000,0,800000000,4,r27:path:2:swap_tree_1,physical_failure
r28,400000000,680000010,1,280000010,1,r28:path:2:swap_tree_2,
r29,400000000,630000010,1,230000010,1,r29:path:2:swap_tree_0,
r3,0,480000010,1,480000010,2,r3:path:0:swap_tree_4,
r30,600000000,1400000000,0,800000000,4,r30:path:3:swap_tree_4,physical_failure
r31,600000000,1400000000,0,800000000,4,r31:path:3:swap_tree_3,physical_failure
r32,600000000,1230000010,1,630000010,3,r32:path:2:swap_tree_3,
r33,600000000,980000010,1,380000010,2,r33:path:1:swap_tree_2,
r34,600000000,880000010,1,280000010,1,r34:path:1:swap_tree_2,
r35,600000000,1130000010,1,530000010,2,r35:path:0:swap_tree_1,
r36,600000000,880000010,1,280000010,1,r36:path:1:swap_tree_4,
r37,600000000,1080000010,1,480000010,2,r37:path:1:swap_tree_1,
r38,600000000,1030000010,1,430000010,2,r38:path:2:swap_tree_2,
r39,600000000,1265000000,1,665000000,3,r39:path:0:swap_tree_1,
r4,0,430000010,1,430000010,2,r4:path:0:swap_tree_3,
r5,0,800000000,0,800000000,4,r5:path:0:swap_tree_4,physical_failure
r6,0,800000000,0,800000000,1,r6:path:3:swap_tree_2,physical_failure
r7,0,730000010,1,730000010,3,r7:path:1:swap_tree_3,
r8,0,330000010,1,330000010,1,r8:path:0:swap_tree_4,
r9,0,230000010,1,230000010,1,r9:path:3:swap_tree_1,
